Title,Company,Experience,Salary,Location,Skills,Description,Link
Urgent Requirement of Data Analyst,Fortuna Retail,0-2 Yrs,2.5-4 Lacs PA,Gurugram,"Power Bi, Power Query, SQL, Python, VBA, Appsheet, Bigquery, Advanced Excel","0-2 years of experience in data analysis, analytics, or related roles (internships incl...",https://www.naukri.com/job-listings-urgent-requirement-of-data-analyst-fortuna-retail-gurugram-0-to-2-years-060226033540
Data Analyst,Oliver Wyman,2-5 Yrs,Not Disclosed,"Gurugram, Bengaluru","Administration, Data analysis, Reinsurance, Data validation, data reporting, Management consulting, Automation tools, Data collection",This role is for the Analyst in the compensation consulting teaM The position offers go...,https://www.naukri.com/job-listings-data-analyst-oliver-wyman-gurugram-bengaluru-2-to-5-years-170426500312
Data Analyst,Voltas,4-8 Yrs,5-9 Lacs PA,Mumbai (All Areas)(chinchpokli),"SQL, Python, R, Data Analytics, Analytics, Data analysis, Data",Preferred candidate profile . MBA from a reputed Institute 3 Years of experience prior ...,https://www.naukri.com/job-listings-data-analyst-teamlease-mumbai-all-areas-4-to-8-years-100426013093
Analyst/Data Analyst - Val Rsch,eClerx,0-2 Yrs,Not Disclosed,Coimbatore,"linguistics, language teaching, data analysis, data analytics, analytical, data validation, verbal communication, problem solving",Willingness to work in US shifts from the officeRequired Skills & Qualifications . Stro...,https://www.naukri.com/job-listings-analyst-data-analyst-val-rsch-eclerx-services-ltd-coimbatore-0-to-2-years-270326012951
Data Analyst,LoanTap,2-5 Yrs,4-5 Lacs PA,Pune(Kalyani Nagar),"Power Bi, Data Analysis, Data Analytics, Bi, Bi Tools, Data Visualization, Tableau, Dashboards",Strong proficiency in SQL for data extraction and manipulation B Tech / BE or prior exp...,https://www.naukri.com/job-listings-data-analyst-loantap-pune-2-to-5-years-160426021592
Data Analyst,Tvs Mobility,5-10 Yrs,Not Disclosed,Chennai,"Data Analytics, Power Bi, Bi Tools, Data Analysis, Data Visualization, Analytics, Analysis, Tools",Job Description:Manage company-wide KPI tracking and performance monitoringPrepare week...,https://www.naukri.com/job-listings-data-analyst-tvs-mobility-chennai-5-to-10-years-100426020039
Data Analyst,Anamind,3-8 Yrs,5-7.5 Lacs PA,Bengaluru,"Data Analytics, Power Bi, Data Visualization, Advanced Excel, Dashboards, Power Point Presentation, Analytics, Data","Proven experience as a Data Analyst, preferably in a business planning or analytics rol...",https://www.naukri.com/job-listings-data-analyst-anamind-business-consulting-private-limited-bengaluru-3-to-8-years-140426023967
Data Analyst,Ingka Centres,3-7 Yrs,Not Disclosed,Bengaluru,"Process automation, Computer vision, Cloud computing, Data analysis, Artificial Intelligence, Machine learning, Agile, Data mining",To drive the transformation of Ingka into a more data-driven company by extracting and ...,https://www.naukri.com/job-listings-data-analyst-ingka-centres-holding-bengaluru-3-to-7-years-160426504232
Data Analyst,Hubstream India,2-4 Yrs,10-15 Lacs PA,Hybrid - Chennai,"Power Bi, Data Analytics, Data Analysis, Data Visualization, Dashboards, SQL, Data, Bi",Bachelors degree in engineering (BE / BTech) or Master of Computer Applications (MCA)Pr...,https://www.naukri.com/job-listings-data-analyst-hubstream-india-private-limited-chennai-2-to-4-years-150426018907
Data Analyst,HSBC,9-14 Yrs,11-20 Lacs PA,Remote,"Regulatory Reporting & Trusted Source, Credit Risk Data Management, Data Analytics, Data Governance & Data Quality, SQL, Risk, Credit Risk Modelling, BCBS",Role Summary Data Governance & Credit Risk -Data AnalystCompany (HSBC)Location: Remote ...,https://www.naukri.com/job-listings-data-analyst-allegis-group-india-9-to-14-years-090426005998
Data Analyst,H R D Diamond Institute,3-5 Yrs,3-8 Lacs PA,Mumbai (All Areas),"Power Bi, Data Analytics, SQL, Dax Queries, Business Intelligence, Power Bi Dashboards, Data Visualization, Tableau","Proficiency in SQL for writing, optimizing, and maintaining queries Requirement: Candid...",https://www.naukri.com/job-listings-data-analyst-h-r-d-diamond-institute-mumbai-all-areas-3-to-5-years-171125013904
Data Analyst,Intelizign Lifecycle Services,2-6 Yrs,Not Disclosed,Pune,"Data Analysis, battery fundamentals, battery chemistries, Python, PyBamm, Power BI, SOC, Tableau",Good to Have: -Good knowhow of programming languages like Python (Library knowledge PyB...,https://www.naukri.com/job-listings-data-analyst-intelizign-lifecycle-services-pune-2-to-6-years-150426008682
Data Analyst,Xebia It Architects,7-12 Yrs,Not Disclosed,Hybrid - Bengaluru,"Data Manipulation, Data Validation, Data Quality, Data Profiling, Data Visualization, Data Cleansing, Data Modeling, Advance Sql",Required Skills . Advanced SQL Preferred Experience . Experience in retail or large ent...,https://www.naukri.com/job-listings-data-analyst-xebia-it-architects-bengaluru-7-to-12-years-070426020247
